"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Perfectly Imperfect","Standalone","For Sale","USD",19.99,"USD",19.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",8,"464301","790356","RAHPIMP01EN","2026-06-03","",""
"Mythologies","Standalone","For Sale","USD",39.99,"USD",39.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",73,"447570","796805","","0000-00-00","Q3 2026",""
"Red or Yellow","Standalone","Demo","USD",19.95,"USD",19.95,"The Op Games","","N/A","N/A",3,"465709","792689","","0000-00-00","2026",""
"Qork","Standalone","Demo","USD",19.99,"USD",19.99,"The Op Games","","N/A","N/A",11,"207331","791840","","0000-00-00","2026",""
"Tacta","Standalone","Demo","USD",7.95,"USD",7.95,"The Op Games","","N/A","N/A",20,"401636","792594","","2026-00-00","",""
"Hummingbirds","Standalone","Demo","USD",19.95,"USD",19.95,"The Op Games","","N/A","N/A",13,"423404","718327","","0000-00-00","",""
"Anomia","Standalone","Demo","USD",17.95,"USD",17.95,"The Op Games","","N/A","N/A",4,"67877","792814","","0000-00-00","",""
"Tap 4","Standalone","Demo","USD",7.95,"USD",7.95,"The Op Games","","N/A","N/A",9,"404936","792272","","0000-00-00","",""
"Flip 7: With A Vengeance","Standalone","Demo","USD",9.97,"USD",9.97,"The Op Games","","N/A","N/A",29,"463441","788784","CSGFLIP7V","2026-01-31","",""
"Desperate Oasis","Standalone","Demo","USD",10.95,"USD",10.95,"The Op Games","","N/A","N/A",11,"428904","792813","","0000-00-00","",""
"The Battle of the Divas","Standalone","For Sale","USD",40,"N/A","N/A","Salt & Pepper Games","Booth #2666","N/A","N/A",30,"439547","747073","","2025-10-00","",""
"The Battle of the Divas: Palco Reale","Expansion","For Sale","USD",20,"N/A","N/A","Salt & Pepper Games","Booth #2666","N/A","N/A",19,"447766","761263","","0000-00-00","",""
"Tales of Myth & Legend","Standalone","For Sale","N/A","N/A","N/A","N/A","Van Ryder Games","Room 125","N/A","N/A",26,"392823","668314","","2026-08-00","",""
"Prague Unseen","Standalone","Demo","N/A","N/A","N/A","N/A","Albi","2564","N/A","N/A",46,"457410","778660","","2026-00-00","",""
"Final Girl: The Green Terror","Expansion","For Sale","N/A","N/A","N/A","N/A","Van Ryder Games","Booth 2719","N/A","N/A",35,"438602","745243","","2026-00-00","",""
"Star Trek: Space Hunt","Standalone","For Sale","USD",35,"USD",35,"Matagot","2321","N/A","N/A",16,"470574","800979","MAT-ONA-020-748","2026-07-31","",""
"Kano","Standalone","For Sale","USD",40,"USD",40,"Matagot","2321","N/A","N/A",15,"470343","800728","","2026-08-01","",""
"Wanted Wombats","Standalone","For Sale","USD",20,"USD",15,"Barrel Aged Games","Barrel Aged Games - Booth #2737","N/A","N/A",10,"374071","748101","","2025-07-15","Q3 2025",""
"Munchkin: Second Edition","Standalone","For Sale","N/A","N/A","N/A","N/A","Steve Jackson Games","Booth 1401","N/A","N/A",3,"463285","788486","","0000-00-00","",""
"Munchkin: Vox Machina – A Critical Role Game","Standalone","For Sale","N/A","N/A","N/A","N/A","Steve Jackson Games","Booth 1401","N/A","N/A",5,"454650","774018","SJG1552","2026-03-00","Mar/Apr 2026",""
"Purrfect Potions","Standalone","For Sale","N/A","N/A","N/A","N/A","Steve Jackson Games","Booth 1401","N/A","N/A",6,"456550","777187","1586","2025-09-00","",""
"Nature: Climate","Expansion","For Sale","USD",29.99,"USD",29.99,"NorthStar Game Studio","","N/A","N/A",49,"453175","771311","","2026-06-00","",""
"Viking Route","Standalone","For Sale","USD",49.9,"N/A","N/A","Ares Games","#331","N/A","N/A",11,"411265","697182","ARTG025","2025-10-00","Q2 2026",""
